,City,Max Temp,Latitude,Longitude,Humidity,Cloudiness,Wind Speed,Date,Converted Date,Country
0,redcliffe,41.0,51.45,-2.59,80,0,10.29,1554944646,2019-04-11,zw
1,inyonga,62.1,-6.72,32.06,91,8,2.37,1554944689,2019-04-11,tz
2,kouroussa,76.68,10.65,-9.88,61,8,1.81,1554944689,2019-04-11,gn
3,ilhabela,73.35,-23.78,-45.36,100,80,10.76,1554944467,2019-04-11,br
4,tashtagol,14.22,52.76,87.85,69,0,2.26,1554944689,2019-04-11,ru
5,ales,55.4,44.13,4.08,62,0,8.05,1554944528,2019-04-11,fr
6,ujhani,72.9,28.0,79.01,69,0,3.04,1554944690,2019-04-11,in
7,meyzieu,51.8,45.78,5.0,81,90,11.41,1554944529,2019-04-11,fr
8,tucupita,83.97,9.06,-62.05,54,24,11.43,1554944690,2019-04-11,ve
9,ubinskoye,19.62,55.31,79.68,67,8,4.38,1554944690,2019-04-11,ru
10,punta umbria,54.0,37.18,-6.97,66,0,7.0,1554944439,2019-04-11,es
11,tonantins,79.92,-2.86,-67.77,83,12,6.62,1554944691,2019-04-11,br
12,ferrol,51.01,43.48,-8.23,100,0,2.24,1554944643,2019-04-11,es
13,alabaster,75.99,33.24,-86.82,46,20,3.38,1554944608,2019-04-11,us
14,biltine,74.25,14.53,20.93,27,0,8.3,1554944691,2019-04-11,td
15,sokolo,76.59,14.74,-6.12,27,0,9.98,1554944691,2019-04-11,ml
16,matagami,69.75,9.67,8.4,90,20,2.59,1554944691,2019-04-11,ca
17,melivoia,55.0,41.33,24.93,93,75,1.59,1554944651,2019-04-11,gr
18,saint-louis,50.0,47.59,7.56,93,90,10.29,1554944643,2019-04-11,sn
19,voyinka,46.62,45.87,33.99,92,0,2.82,1554944693,2019-04-11,ua
20,boca do acre,77.4,-8.76,-67.39,87,0,2.04,1554944693,2019-04-11,br
21,robertson,48.6,-33.8,19.88,86,0,1.92,1554944693,2019-04-11,za
22,mattru,78.39,7.62,-11.83,85,0,5.06,1554944693,2019-04-11,sl
23,brae,41.0,60.4,-1.35,60,48,6.93,1554942000,2019-04-11,gb
